Event ID,Timestamp (UTC),Type,Severity,Source,Destination,Protocol,Summary,Details,Evidence Ref
DNS-TUNNEL-1789898400100000000,2026-09-20T10:00:00.1Z,THREAT,THREAT_DETECTED,192.168.1.100,8.8.8.8,DNS,DNS Tunneling / Data Exfiltration Detected,Detected DNS covert channel querying '4d616c6963696f757344617461457866696c74726174696f6e.tunnel.c2server.org' (Base Domain: c2server.org) | Evidence: Anomalously long subdomain label (50 characters); Encoded payload signature detected (Base32/Hex/Base64 C2 exfiltration format),DNS-TUNNEL-1789898400100000000
ARP-MITM-1789898400600000000,2026-09-20T10:00:00.6Z,THREAT,THREAT_DETECTED,192.168.1.1,192.168.1.1,ARP,ARP Cache Poisoning / MITM Attack Detected,"Conflict detected on host 192.168.1.1: Ownership claimed by illegitimate MAC de:ad:be:ef:00:13 | Evidence: IP 192.168.1.1 was originally bound to MAC 00:50:56:c0:00:01 (seen 2 times), but is now announced by MAC de:ad:be:ef:00:13 (Operation: Reply); Unsolicited Gratuitous ARP packet observed",ARP-MITM-1789898400600000000
TCP-XMAS-1789898401000000000,2026-09-20T10:00:01Z,THREAT,THREAT_DETECTED,10.0.0.99,192.168.1.50,TCP,TCP Xmas Tree Stealth Scan Detected (Nmap -sX),"Host 10.0.0.99 probed 192.168.1.50:80 with illegal FIN+PSH+URG flag combination | Evidence: Flags: [FIN, PSH, URG] without SYN/ACK; Classic RFC 793 evasion signature",TCP-XMAS-1789898401000000000
TCP-NULL-1789898401050000000,2026-09-20T10:00:01.05Z,THREAT,THREAT_DETECTED,10.0.0.99,192.168.1.50,TCP,TCP Null Scan Detected (Nmap -sN),Host 10.0.0.99 probed 192.168.1.50:443 with zero TCP flags set | Evidence: Flags: [None]; Illegal packet attempting to solicit RST response,TCP-NULL-1789898401050000000
MASSCAN-1789898401060000000,2026-09-20T10:00:01.06Z,THREAT,THREAT_DETECTED,10.0.0.99,192.168.1.50,TCP,High-Speed Masscan Fingerprint Detected,Masscan scanner signature matched against host 10.0.0.99 targeting port 20 | Evidence: TCP SYN with static window size 1024 (characteristic of Robert Graham Masscan),MASSCAN-1789898401060000000
MASSCAN-1789898401070000000,2026-09-20T10:00:01.07Z,THREAT,THREAT_DETECTED,10.0.0.99,192.168.1.50,TCP,High-Speed Masscan Fingerprint Detected,Masscan scanner signature matched against host 10.0.0.99 targeting port 21 | Evidence: TCP SYN with static window size 1024 (characteristic of Robert Graham Masscan),MASSCAN-1789898401070000000
MASSCAN-1789898401080000000,2026-09-20T10:00:01.08Z,THREAT,THREAT_DETECTED,10.0.0.99,192.168.1.50,TCP,High-Speed Masscan Fingerprint Detected,Masscan scanner signature matched against host 10.0.0.99 targeting port 22 | Evidence: TCP SYN with static window size 1024 (characteristic of Robert Graham Masscan),MASSCAN-1789898401080000000
MASSCAN-1789898401090000000,2026-09-20T10:00:01.09Z,THREAT,THREAT_DETECTED,10.0.0.99,192.168.1.50,TCP,High-Speed Masscan Fingerprint Detected,Masscan scanner signature matched against host 10.0.0.99 targeting port 23 | Evidence: TCP SYN with static window size 1024 (characteristic of Robert Graham Masscan),MASSCAN-1789898401090000000
MASSCAN-1789898401100000000,2026-09-20T10:00:01.1Z,THREAT,THREAT_DETECTED,10.0.0.99,192.168.1.50,TCP,High-Speed Masscan Fingerprint Detected,Masscan scanner signature matched against host 10.0.0.99 targeting port 24 | Evidence: TCP SYN with static window size 1024 (characteristic of Robert Graham Masscan),MASSCAN-1789898401100000000
MASSCAN-1789898401110000000,2026-09-20T10:00:01.11Z,THREAT,THREAT_DETECTED,10.0.0.99,192.168.1.50,TCP,High-Speed Masscan Fingerprint Detected,Masscan scanner signature matched against host 10.0.0.99 targeting port 25 | Evidence: TCP SYN with static window size 1024 (characteristic of Robert Graham Masscan),MASSCAN-1789898401110000000
MASSCAN-1789898401120000000,2026-09-20T10:00:01.12Z,THREAT,THREAT_DETECTED,10.0.0.99,192.168.1.50,TCP,High-Speed Masscan Fingerprint Detected,Masscan scanner signature matched against host 10.0.0.99 targeting port 26 | Evidence: TCP SYN with static window size 1024 (characteristic of Robert Graham Masscan),MASSCAN-1789898401120000000
MASSCAN-1789898401130000000,2026-09-20T10:00:01.13Z,THREAT,THREAT_DETECTED,10.0.0.99,192.168.1.50,TCP,High-Speed Masscan Fingerprint Detected,Masscan scanner signature matched against host 10.0.0.99 targeting port 27 | Evidence: TCP SYN with static window size 1024 (characteristic of Robert Graham Masscan),MASSCAN-1789898401130000000
MASSCAN-1789898401140000000,2026-09-20T10:00:01.14Z,THREAT,THREAT_DETECTED,10.0.0.99,192.168.1.50,TCP,High-Speed Masscan Fingerprint Detected,Masscan scanner signature matched against host 10.0.0.99 targeting port 28 | Evidence: TCP SYN with static window size 1024 (characteristic of Robert Graham Masscan),MASSCAN-1789898401140000000
MASSCAN-1789898401150000000,2026-09-20T10:00:01.15Z,THREAT,THREAT_DETECTED,10.0.0.99,192.168.1.50,TCP,High-Speed Masscan Fingerprint Detected,Masscan scanner signature matched against host 10.0.0.99 targeting port 29 | Evidence: TCP SYN with static window size 1024 (characteristic of Robert Graham Masscan),MASSCAN-1789898401150000000
MASSCAN-1789898401160000000,2026-09-20T10:00:01.16Z,THREAT,THREAT_DETECTED,10.0.0.99,192.168.1.50,TCP,High-Speed Masscan Fingerprint Detected,Masscan scanner signature matched against host 10.0.0.99 targeting port 30 | Evidence: TCP SYN with static window size 1024 (characteristic of Robert Graham Masscan),MASSCAN-1789898401160000000
MASSCAN-1789898401170000000,2026-09-20T10:00:01.17Z,THREAT,THREAT_DETECTED,10.0.0.99,192.168.1.50,TCP,High-Speed Masscan Fingerprint Detected,Masscan scanner signature matched against host 10.0.0.99 targeting port 31 | Evidence: TCP SYN with static window size 1024 (characteristic of Robert Graham Masscan),MASSCAN-1789898401170000000
